,片名,国家,年代,导演,评分,人数,类型,短评
165,你的名字。,日本,2016,新海诚,8.4,853384,剧情 爱情 动画,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
166,花样年华,中国香港,2000,王家卫,8.6,364572,剧情 爱情,偷情本没有这样美。
167,雨人,美国,1988,巴瑞·莱文森,8.7,284936,剧情,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
168,天书奇谭,中国大陆,1983,王树忱,9.2,112220,动画 奇幻,传奇的年代，醉人的童话。
169,头号玩家,美国,2018,史蒂文·斯皮尔伯格,8.7,909520,动作 科幻 冒险,写给影迷，动漫迷和游戏迷的一封情书。
170,卢旺达饭店,英国 南非 意大利,2004,特瑞·乔治,8.9,178038,剧情 历史 战争,当这个世界闭上双眼，他却敞开了怀抱。
171,功夫,中国大陆 中国香港,2004,周星驰,8.5,546468,动作 喜剧 犯罪 奇幻,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
172,头脑特工队,美国,2015,彼特·道格特,8.7,371996,喜剧 动画 冒险,愿我们都不用长大，每一座城堡都能永远存在。
173,你看起来好像很好吃,日本,2010,藤森雅也,8.8,219556,剧情 动画 儿童,感情不分食草或者食肉。
174,忠犬八公物语,日本,1987,Seijirô,9.1,111079,剧情,养狗三日，便会对你终其一生。
175,无敌破坏王,美国,2012,瑞奇·莫尔,8.7,336293,喜剧 动画 奇幻 冒险,迪士尼和皮克斯拿错剧本的产物。
176,未麻的部屋,日本,1997,今敏,8.9,164892,动画 奇幻 惊悚,好的剧本是，就算你猜到了结局也猜不到全部。
177,一个叫欧维的男人决定去死,瑞典,2015,汉内斯·赫尔姆,8.8,221442,剧情,惠及一生的美丽。
178,海边的曼彻斯特,美国,2016,肯尼斯·罗纳根,8.6,319605,剧情 家庭,我们都有权利不与自己的过去和解。
179,模仿游戏,英国 美国,2014,莫滕·泰杜姆,8.6,385266,剧情 传记 战争 同性,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
180,恋恋笔记本,美国,2004,尼克·卡索维茨,8.5,416946,剧情 爱情,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
181,冰川时代,美国,2002,卡洛斯·沙尔丹哈,8.5,410851,喜剧 动画 冒险,松鼠才是角儿。
182,二十二,中国大陆,2015,郭柯,8.7,189155,纪录片,有一些东西不应该被遗忘。
183,黑客帝国3：矩阵革命,美国 澳大利亚,2003,Andy,8.7,254933,动作 科幻,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
184,虎口脱险,法国 英国,1966,杰拉尔·乌里,8.9,151892,喜剧 战争,永远看不腻的喜剧。
185,雨中曲,美国,1952,斯坦利·多南,9.0,134897,喜剧 歌舞 爱情,骨灰级歌舞片。
186,海街日记,日本,2015,是枝裕和,8.7,239297,剧情 家庭,是枝裕和的家庭习作。
187,人工智能,美国,2001,史蒂文·斯皮尔伯格,8.6,280384,冒险 剧情 科幻,对爱的执着，可以超越一切。
188,海洋,法国 瑞士 西班牙 美国 阿联酋,2009,雅克·贝汉,9.1,121608,纪录片,大海啊，不全是水。
189,房间,爱尔兰 加拿大 英国 美国,2015,伦尼·阿伯拉罕森,8.8,250879,剧情 家庭,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
190,魔女宅急便,日本,1989,宫崎骏,8.6,302465,动画 奇幻 冒险,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
191,恐怖游轮,英国 澳大利亚,2009,克里斯托弗·史密斯,8.4,501596,剧情 悬疑 惊悚,不要企图在重复中寻找已经失去的爱。
192,惊魂记,美国,1960,阿尔弗雷德·希区柯克,8.9,142902,悬疑 惊悚 恐怖,故事的反转与反转，分裂电影的始祖。
193,燃情岁月,美国,1994,爱德华·兹威克,8.8,197512,剧情 爱情 战争 西部,传奇，不是每个人都可以拥有。
194,罗生门,日本,1950,黑泽明,8.8,194709,犯罪 剧情 悬疑,人生的N种可能性。
